seed,tide,weave,alive_invaders,total_presence,total_corruption,fear_generated_this_tide,invaders_killed_this_tide,invaders_arrived_this_tide
82,5,20,12,10,0,12,4,9
82,6,20,12,11,0,4,4,4
83,1,20,3,3,0,0,0,3
83,2,20,5,5,0,9,2,4
83,3,20,13,9,15,10,0,9
83,4,20,12,9,0,9,5,6
83,5,20,12,9,0,4,8,9
83,6,20,12,10,0,10,4,4
84,1,20,3,1,0,5,0,3
84,2,20,7,4,0,8,0,4
84,3,20,12,7,0,7,3,8
84,4,20,12,10,0,6,4,4
84,5,20,13,11,0,4,7,9
84,6,20,15,11,0,6,2,4
85,1,20,3,2,0,2,0,3
85,2,20,7,4,0,7,0,4
85,3,20,12,8,14,4,3,8
85,4,20,10,10,0,6,6,4
85,5,20,17,10,0,9,1,9
85,6,20,12,10,0,7,9,6
86,1,20,3,2,0,0,0,3
86,2,20,7,4,0,9,0,4
86,3,20,15,8,22,4,0,9
86,4,20,13,8,1,6,6,4
86,5,20,12,8,0,10,9,9
86,6,20,12,11,0,6,4,6
87,1,20,3,2,0,3,0,3
87,2,20,5,4,0,6,2,4
87,3,20,10,7,0,6,3,10
87,4,20,8,8,0,4,6,4
87,5,20,12,9,0,7,4,8
87,6,20,12,10,0,6,4,4
88,1,20,3,3,0,0,0,3
88,2,20,7,5,0,7,0,4
88,3,20,15,8,25,12,0,12
88,4,18,16,8,0,10,3,4
88,5,18,23,11,0,7,1,14
88,6,0,24,11,0,4,3,4
89,1,20,3,2,0,0,0,3
89,2,20,7,4,0,9,0,4
89,3,20,15,8,0,9,0,15
89,4,7,16,10,0,7,3,4
89,5,7,13,10,0,4,11,8
89,6,11,13,10,0,6,4,7
90,1,20,3,2,0,0,0,3
90,2,20,6,4,0,6,1,4
90,3,20,14,9,0,7,0,14
90,4,20,12,9,0,6,6,4
90,5,20,16,11,0,4,4,9
90,6,20,11,11,0,12,9,7
91,1,20,3,2,0,2,0,3
91,2,20,7,4,0,13,0,4
91,3,20,15,7,22,7,0,9
91,4,20,13,8,0,7,6,4
91,5,20,17,11,0,9,4,9
91,6,20,9,11,0,4,12,6
92,1,20,3,2,0,0,0,3
92,2,20,7,4,0,6,0,4
92,3,20,10,8,0,7,5,10
92,4,20,12,10,0,4,2,4
92,5,20,17,10,0,6,3,9
92,6,20,12,11,0,7,9,4
93,1,20,3,2,0,3,0,3
93,2,20,7,4,0,8,0,4
93,3,20,11,7,9,4,4,8
93,4,20,13,9,0,9,2,8
93,5,16,15,10,0,10,6,9
93,6,16,12,10,0,9,7,4
94,1,20,3,2,0,3,0,3
94,2,20,7,4,0,6,0,4
94,3,20,15,11,22,6,0,9
94,4,20,13,11,4,6,6,4
94,5,20,17,11,0,13,4,10
94,6,20,10,12,0,7,11,4
95,1,20,3,3,0,0,0,3
95,2,20,7,4,0,13,0,4
95,3,20,10,7,0,6,5,10
95,4,20,12,8,0,4,2,4
95,5,20,13,8,0,10,7,8
95,6,20,9,10,0,4,8,4
96,1,20,3,2,0,3,0,3
96,2,20,6,4,0,4,1,4
96,3,20,14,10,23,10,0,11
96,4,20,15,11,5,7,3,4
96,5,20,17,12,0,4,6,13
96,6,4,19,12,0,6,2,4
97,1,20,3,2,0,2,0,3
97,2,20,7,4,0,6,0,4
97,3,20,15,10,0,7,0,15
97,4,20,12,10,0,7,7,6
97,5,20,12,11,0,6,8,10
97,6,20,12,13,0,10,4,4
98,1,20,3,2,0,3,0,3
98,2,20,7,4,0,6,0,4
98,3,20,15,8,0,4,0,15
98,4,20,12,8,0,7,7,4
98,5,20,12,8,0,8,8,8
98,6,20,14,11,0,4,2,6
99,1,20,3,3,0,0,0,3
99,2,20,5,5,0,8,2,4
99,3,20,13,8,18,11,0,10
99,4,20,14,8,0,4,3,4
99,5,20,22,10,0,4,0,13
99,6,20,14,10,0,4,12,4
100,1,20,3,3,0,0,0,3
100,2,20,6,5,0,6,1,4
100,3,20,9,8,0,9,5,9
100,4,20,12,8,0,9,1,4
100,5,20,12,8,0,4,8,9
100,6,20,12,10,0,11,4,5
